Date, AQI Value,Main Pollutant,Site Name,Site ID,Source,
01/01/1980,44,CO,,26-163-0021,AQS,
01/02/1980,48,CO,,26-147-0003,AQS,
01/03/1980,59,CO,,26-147-0003,AQS,
01/04/1980,48,CO,,26-147-0003,AQS,
01/05/1980,44,CO,,26-147-0003,AQS,
01/06/1980,72,CO,Allen Park,26-163-0001,AQS,
01/07/1980,61,NO2,,26-163-0020,AQS,
01/08/1980,45,NO2,,26-163-0020,AQS,
01/09/1980,44,CO,,26-147-0003,AQS,
01/10/1980,68,CO,,26-163-0021,AQS,
01/11/1980,64,CO,,26-147-0003,AQS,
01/12/1980,49,CO,,26-147-0003,AQS,
01/13/1980,42,NO2,,26-163-0016,AQS,
01/14/1980,61,NO2,,26-163-0020,AQS,
01/15/1980,74,CO,,26-163-0021,AQS,
01/16/1980,74,CO,,26-163-0021,AQS,
01/17/1980,54,CO,,26-163-0021,AQS,
01/18/1980,25,CO,,26-125-1002,AQS,
01/19/1980,35,NO2,,26-163-0020,AQS,
01/20/1980,36,NO2,,26-163-0020,AQS,
01/21/1980,39,NO2,,26-163-0020,AQS,
01/22/1980,35,NO2,,26-163-0020,AQS,
01/23/1980,42,NO2,,26-163-0020,AQS,
01/24/1980,79,CO,,26-163-0021,AQS,
01/25/1980,50,CO,,26-163-0021,AQS,
01/26/1980,47,NO2,,26-163-0020,AQS,
01/27/1980,73,CO,WARREN - FIRE STATION 29900 HOOVER AT COMMON,26-099-1003,AQS,
01/28/1980,38,NO2,,26-163-0020,AQS,
01/29/1980,60,NO2,,26-163-0020,AQS,
01/30/1980,42,NO2,,26-163-0020,AQS,
01/31/1980,35,NO2,,26-163-0020,AQS,
02/01/1980,44,NO2,,26-163-0020,AQS,
02/02/1980,45,NO2,,26-163-0020,AQS,
02/03/1980,49,CO,WARREN - FIRE STATION 29900 HOOVER AT COMMON,26-099-1003,AQS,
02/04/1980,54,NO2,,26-163-0020,AQS,
02/05/1980,188,CO,WARREN - FIRE STATION 29900 HOOVER AT COMMON,26-099-1003,AQS,
02/06/1980,42,NO2,,26-147-0904,AQS,
